,Race,Area ID,Perceived: AGE,Basis for Stop,Stop_Year,Action Taken: None,Stop Time,Result of Stop: No Action,Result of Stop: Warning,Result of Stop: Citation for infraction,Result of Stop: In-field cite and release,Result of Stop: Custodial Arrest Pursuant to Outstanding Warrant,Result of Stop: Custodial Arrest Without Warrant,Result of Stop: Noncriminal Transport or Caretaking Transport,Result of Stop: Psychiatric Hold,Result of Stop: Referred to U.S. Department of Homeland Security
35,3,13,18,,2018,0,18:01,0,0,0,0,0,0,0,0,0
36,2,15,33,,2018,1,06:14,0,0,1,0,0,0,0,0,0
37,3,02,35,Officer witnessed commission of a crime,2018,0,14:02,0,1,0,0,0,0,0,0,0
38,3,09,50,,2018,1,21:18,0,0,1,0,0,0,0,0,0
39,3,13,20,Officer witnessed commission of a crime,2018,1,13:22,1,0,0,0,0,0,0,0,0
40,2,03,30,,2018,1,22:43,0,1,0,0,0,0,0,0,0
41,3,05,51,,2018,0,19:22,0,0,0,0,0,0,0,0,0
42,2,99,39,,2018,1,19:00,1,0,0,0,0,0,0,0,0
43,3,16,34,,2018,1,06:58,0,0,1,0,0,0,0,0,0
44,3,04,36,,2018,0,19:24,0,0,0,0,0,0,0,0,0
45,3,19,30,,2018,1,18:47,0,1,0,0,0,0,0,0,0
46,1,15,59,,2018,1,08:06,0,0,1,0,0,0,0,0,0
47,7,15,49,,2018,1,21:27,0,1,0,0,0,0,0,0,0
48,3,02,43,Officer witnessed commission of a crime,2018,0,16:30,0,0,0,1,0,0,0,0,0
49,7,08,65,,2018,0,14:25,0,0,0,0,0,0,0,0,0
50,7,10,39,,2018,1,16:20,0,0,1,0,0,0,0,0,0
51,2,12,40,,2018,1,12:50,0,1,0,0,0,0,0,0,0
52,3,21,17,Other reasonable suspicion of a crime,2018,0,20:00,0,1,0,0,0,0,0,0,0
53,3,06,25,,2018,1,22:04,0,1,0,0,0,0,0,0,0
54,3,05,25,,2018,0,21:16,1,0,0,0,0,0,0,0,0
55,7,17,36,,2018,1,09:05,0,0,1,0,0,0,0,0,0
56,3,02,49,Officer witnessed commission of a crime,2018,1,18:30,0,0,1,0,0,0,0,0,0
57,2,07,20,,2018,0,00:14,0,0,1,0,0,0,0,0,0
58,2,20,29,,2018,0,09:21,0,0,0,0,0,1,0,0,0
59,3,19,70,,2018,1,08:45,0,1,0,0,0,0,0,0,0
60,2,03,33,,2018,0,21:47,0,0,0,0,0,0,0,0,0
61,7,09,74,,2018,1,12:49,0,0,1,0,0,0,0,0,0
62,3,12,35,,2018,0,17:47,0,1,0,0,0,0,0,0,0
63,2,18,22,,2018,1,15:06,0,0,1,0,0,0,0,0,0
64,3,18,20,,2018,1,13:22,0,1,0,0,0,0,0,0,0
65,3,04,25,,2018,0,14:31,0,1,0,0,0,0,0,0,0
66,3,03,26,,2018,1,20:17,0,0,1,0,0,0,0,0,0
67,3,12,35,,2018,1,02:00,1,0,0,0,0,0,0,0,0
68,3,01,57,,2018,1,10:09,0,0,1,0,0,0,0,0,0
69,3,17,16,Witness or victim identification of suspect at the scene,2018,0,16:15,0,0,0,0,0,1,0,0,0
70,3,09,43,,2018,0,12:12,0,0,0,0,0,0,0,1,0
71,3,05,55,,2018,1,01:47,0,0,1,0,0,0,0,0,0
72,7,09,53,,2018,1,22:11,0,0,1,0,0,0,0,0,0
73,3,02,53,Officer witnessed commission of a crime,2018,1,18:20,0,0,1,0,0,0,0,0,0
74,2,12,22,Other reasonable suspicion of a crime,2018,0,23:13,1,0,0,0,0,0,0,0,0
75,3,12,25,,2018,0,22:51,0,0,1,0,0,0,0,0,0
76,3,11,66,,2018,1,10:32,0,0,1,0,0,0,0,0,0
77,2,12,26,,2018,0,21:06,0,0,0,0,1,0,0,0,0
78,3,03,30,,2018,1,16:46,1,0,0,0,0,0,0,0,0
79,7,13,55,Officer witnessed commission of a crime,2018,0,14:48,0,0,1,0,0,0,0,0,0
80,3,15,30,,2018,1,12:40,1,0,0,0,0,0,0,0,0
81,3,04,21,,2018,1,23:41,0,1,0,0,0,0,0,0,0
82,2,01,49,Officer witnessed commission of a crime,2018,0,16:50,0,0,1,0,0,0,0,0,0
83,7,21,24,,2018,1,14:30,0,0,1,0,0,0,0,0,0
84,3,03,22,,2018,0,23:34,0,1,0,0,0,0,0,0,0
85,7,08,35,Officer witnessed commission of a crime,2018,0,06:33,0,0,0,1,0,0,0,0,0
86,6,18,35,Officer witnessed commission of a crime,2018,0,22:46,0,1,0,0,0,0,0,0,0
87,3,14,48,Officer witnessed commission of a crime,2018,0,07:30,0,0,0,1,0,0,0,0,0
88,2,12,45,,2018,0,04:00,1,0,0,0,0,0,0,0,0
89,3,13,25,,2018,0,10:12,1,0,0,0,0,0,0,0,0
90,7,14,25,,2018,1,15:00,1,0,0,0,0,0,0,0,0
91,3,17,47,,2018,1,08:38,0,0,1,0,0,0,0,0,0
92,2,14,26,Matched suspect description,2018,0,17:00,0,0,0,0,0,1,0,0,0
93,7,01,50,Other reasonable suspicion of a crime,2018,1,07:23,0,0,1,0,0,0,0,0,0
94,2,20,35,,2018,0,19:51,0,1,0,0,0,0,0,0,0
95,3,13,40,,2018,1,00:33,1,0,0,0,0,0,0,0,0
96,3,17,27,,2018,1,07:45,0,0,1,0,0,0,0,0,0
97,3,09,21,,2018,0,22:55,0,0,0,0,0,0,0,0,0
98,1,10,30,,2018,1,17:26,0,1,0,0,0,0,0,0,0
99,3,11,23,Officer witnessed commission of a crime,2018,0,13:38,0,0,1,0,0,0,0,0,0
100,3,01,35,,2018,1,18:27,0,0,1,0,0,0,0,0,0
101,2,20,20,,2018,0,02:47,0,0,0,0,0,0,0,0,0
102,7,20,45,Witness or victim identification of suspect at the scene,2018,0,18:24,0,0,0,0,0,0,0,1,0
103,7,07,30,,2018,1,13:34,0,0,1,0,0,0,0,0,0
104,3,01,44,,2018,1,05:58,0,0,1,0,0,0,0,0,0
105,3,20,39,Officer witnessed commission of a crime,2018,0,21:00,0,0,1,0,0,0,0,0,0
106,3,17,25,Other reasonable suspicion of a crime,2018,1,04:28,1,0,0,0,0,0,0,0,0
107,2,09,23,Officer witnessed commission of a crime,2018,1,16:50,0,0,0,1,0,0,0,0,0
108,3,04,40,Officer witnessed commission of a crime,2018,0,12:55,0,1,0,0,0,0,0,0,0
109,3,05,30,,2018,1,23:00,0,1,0,0,0,0,0,0,0
110,2,08,60,,2018,1,09:20,0,0,1,0,0,0,0,0,0
111,3,05,30,,2018,1,06:43,0,0,1,0,0,0,0,0,0
112,7,14,22,Officer witnessed commission of a crime,2018,0,16:00,0,0,0,1,0,0,0,0,0
113,2,18,38,,2018,1,00:22,0,1,0,0,0,0,0,0,0
114,3,11,25,,2018,1,20:32,0,1,0,0,0,0,0,0,0
115,7,16,27,,2018,1,12:15,0,0,1,0,0,0,0,0,0
116,3,04,30,,2018,1,19:24,0,0,0,0,0,0,0,0,0
117,3,09,25,,2018,0,23:15,0,0,0,0,0,0,0,0,0
118,7,06,38,,2018,1,00:30,0,0,1,0,0,0,0,0,0
119,1,10,20,,2018,1,15:46,0,0,1,0,0,0,0,0,0
120,3,13,51,,2018,1,16:44,1,0,0,0,0,0,0,0,0
121,2,01,24,Witness or victim identification of suspect at the scene,2018,0,23:34,0,0,0,0,0,1,0,0,0
122,1,13,52,,2018,1,07:40,0,0,1,0,0,0,0,0,0
123,1,01,55,,2018,1,14:53,0,0,1,0,0,0,0,0,0
124,7,09,47,,2018,1,09:05,0,0,1,0,0,0,0,0,0
125,2,12,60,,2018,1,17:00,0,1,0,0,0,0,0,0,0
126,7,10,41,,2018,1,08:40,0,0,1,0,0,0,0,0,0
127,7,14,38,,2018,0,16:49,0,0,0,0,0,0,0,1,0
128,1,01,51,,2018,1,16:33,0,0,1,0,0,0,0,0,0
129,3,06,25,Officer witnessed commission of a crime,2018,0,01:10,1,0,0,0,0,0,0,0,0
130,3,04,32,Other reasonable suspicion of a crime,2018,1,11:13,1,0,0,0,0,0,0,0,0
131,3,01,21,,2018,1,08:52,0,0,1,0,0,0,0,0,0
132,7,06,30,,2018,1,03:02,0,1,0,0,0,0,0,0,0
133,2,01,41,,2018,0,11:55,0,0,0,0,1,0,0,0,0
134,3,01,17,,2018,0,10:15,0,0,1,0,0,0,0,0,0
135,3,09,25,,2018,0,00:11,0,0,0,1,0,0,0,0,0
136,1,20,40,Suspected of acting as a lookout,2018,1,12:09,0,0,0,0,0,0,0,0,0
137,2,01,30,,2018,0,22:21,0,0,0,0,0,0,0,0,0
138,7,16,20,,2018,1,08:35,0,0,1,0,0,0,0,0,0
139,2,13,55,,2018,1,02:25,0,1,0,0,0,0,0,0,0
140,7,21,53,Matched suspect description,2018,0,19:53,0,0,0,0,0,0,0,0,0
141,3,19,20,,2018,0,02:34,0,1,0,0,0,0,0,0,0
142,3,06,20,,2018,1,22:00,0,1,0,0,0,0,0,0,0
143,2,18,35,,2018,0,19:16,0,1,0,0,0,0,0,0,0
144,7,06,43,Officer witnessed commission of a crime,2018,0,23:30,0,0,0,0,0,1,0,0,0
145,2,18,25,,2018,0,04:16,1,0,0,0,0,0,0,0,0
146,3,12,49,,2018,1,08:46,0,0,1,0,0,0,0,0,0
147,7,01,24,,2018,1,21:38,1,0,0,0,0,0,0,0,0
148,7,14,35,,2018,1,11:40,0,0,1,0,0,0,0,0,0
149,7,05,35,,2018,0,16:41,0,0,0,0,0,1,0,0,0
150,2,18,12,Other reasonable suspicion of a crime,2018,1,06:00,1,0,0,0,0,0,0,0,0
151,1,10,45,,2018,1,16:09,0,0,1,0,0,0,0,0,0
152,7,10,20,,2018,1,09:12,0,0,1,0,0,0,0,0,0
153,4,02,58,,2018,1,10:01,0,0,1,0,0,0,0,0,0
154,3,03,28,,2018,1,21:17,0,0,1,0,0,0,0,0,0
155,3,05,19,Other reasonable suspicion of a crime,2018,0,07:33,1,0,0,0,0,0,0,0,0
156,7,02,31,,2018,0,15:38,0,0,0,0,0,1,0,0,0
157,2,03,47,,2018,1,19:55,0,0,1,0,0,0,0,0,0
158,3,14,30,,2018,1,09:47,0,0,1,0,0,0,0,0,0
159,3,06,18,Officer witnessed commission of a crime,2018,0,07:50,0,0,0,1,0,0,0,0,0
160,2,18,40,Officer witnessed commission of a crime,2018,0,17:11,0,0,1,0,0,0,0,0,0
161,3,11,22,,2018,1,11:41,0,1,0,0,0,0,0,0,0
162,2,03,35,,2018,0,17:47,0,0,0,0,0,0,0,0,0
163,3,14,26,,2018,1,13:00,0,0,1,0,0,0,0,0,0
164,2,18,31,,2018,1,17:24,0,0,1,0,0,0,0,0,0
165,3,09,30,,2018,0,23:02,0,0,0,0,0,0,0,0,0
166,3,02,40,,2018,0,19:32,0,1,0,0,0,0,0,0,0
167,3,18,21,,2018,0,00:40,1,0,0,0,0,0,0,0,0
168,7,19,40,,2018,0,22:11,0,0,1,0,0,0,0,0,0
169,2,12,25,,2018,1,00:00,1,0,0,0,0,0,0,0,0
170,3,18,27,,2018,1,17:24,0,1,0,0,0,0,0,0,0
171,1,01,40,,2018,0,16:01,1,0,0,0,0,0,0,0,0
172,3,13,19,,2018,0,19:28,0,0,0,0,0,0,0,0,0
173,3,09,31,,2018,1,06:45,0,1,0,0,0,0,0,0,0
174,3,01,33,,2018,1,13:05,0,0,1,0,0,0,0,0,0
175,3,02,49,,2018,1,09:00,0,0,1,0,0,0,0,0,0
176,3,14,14,,2018,0,03:59,0,0,1,0,0,0,0,0,0
177,3,13,31,,2018,0,18:51,1,0,0,0,0,0,0,0,0
178,4,17,56,Matched suspect description,2018,1,06:04,0,0,0,0,0,0,1,0,0
179,3,01,26,,2018,1,15:05,0,1,0,0,0,0,0,0,0
180,3,12,17,,2018,0,03:24,1,0,0,0,0,0,0,0,0
181,3,01,34,,2018,0,11:38,0,0,1,0,0,0,0,0,0
182,1,13,40,,2018,0,21:18,0,1,0,0,0,0,0,0,0
183,3,04,45,,2018,0,19:00,0,0,1,0,0,0,0,0,0
184,3,09,30,,2018,1,21:51,1,0,0,0,0,0,0,0,0
185,6,18,25,Carrying suspicious object,2018,0,19:14,0,0,0,0,0,0,0,0,0
186,4,15,39,Witness or victim identification of suspect at the scene,2018,0,20:17,0,0,0,0,0,1,0,0,0
187,7,07,46,,2018,1,17:53,0,1,0,0,0,0,0,0,0
188,3,04,36,Other reasonable suspicion of a crime,2018,1,23:42,1,0,0,0,0,0,0,0,0
189,3,11,35,,2018,1,14:15,0,1,0,0,0,0,0,0,0
190,3,20,24,,2018,1,08:10,0,0,1,0,0,0,0,0,0
191,2,18,44,,2018,1,17:30,0,1,0,0,0,0,0,0,0
192,3,10,27,,2018,1,09:20,0,0,1,0,0,0,0,0,0
193,7,06,56,Other reasonable suspicion of a crime,2018,0,12:14,0,0,0,1,0,0,0,0,0
194,7,07,23,,2018,1,07:25,0,0,1,0,0,0,0,0,0
195,7,01,50,Witness or victim identification of suspect at the scene,2018,1,10:52,0,1,0,0,0,0,0,0,0
196,2,06,30,,2018,0,05:00,0,0,0,0,0,1,0,0,0
197,3,04,40,Other reasonable suspicion of a crime,2018,0,22:20,0,0,0,0,0,0,0,0,0
198,2,18,52,,2018,1,16:21,1,0,0,0,0,0,0,0,0
199,2,12,27,,2018,1,15:35,0,0,1,0,0,0,0,0,0
200,2,20,38,Matched suspect description,2018,0,07:20,0,0,0,0,0,1,0,0,0
201,3,12,28,,2018,1,09:45,0,0,1,0,0,0,0,0,0
202,7,21,40,,2018,1,20:45,0,1,0,0,0,0,0,0,0
203,2,20,25,Officer witnessed commission of a crime,2018,0,20:49,0,0,1,0,0,0,0,0,0
204,2,12,18,,2018,1,19:21,0,0,0,0,0,0,0,0,0
205,2,20,25,,2018,1,11:01,0,0,1,0,0,0,0,0,0
206,2,13,30,Officer witnessed commission of a crime,2018,0,20:21,0,0,0,0,1,0,0,0,0
207,3,18,25,,2018,0,23:40,0,0,0,0,0,0,0,0,0
208,3,04,34,,2018,1,23:49,1,0,0,0,0,0,0,0,0
209,2,08,40,,2018,1,22:15,0,0,1,0,0,0,0,0,0
210,4,15,28,,2018,0,23:57,0,0,1,0,0,0,0,0,0
211,3,19,14,,2018,1,14:19,1,0,0,0,0,0,0,0,0
212,4,06,20,,2018,1,13:00,0,0,1,0,0,0,0,0,0
213,3,07,64,,2018,1,11:37,0,1,0,0,0,0,0,0,0
214,3,12,18,,2018,0,19:30,0,0,1,0,0,0,0,0,0
215,7,10,35,,2018,1,10:20,0,1,0,0,0,0,0,0,0
216,3,03,29,,2018,0,16:17,0,0,1,0,0,0,0,0,0
217,7,09,26,Matched suspect description,2018,0,14:27,0,0,0,0,0,0,0,0,0
218,2,05,19,,2018,0,22:29,0,0,0,0,0,0,0,0,0
219,2,13,23,,2018,0,17:25,1,0,0,0,0,0,0,0,0
220,3,19,25,,2018,1,07:20,0,1,0,0,0,0,0,0,0
221,3,06,24,,2018,0,20:26,0,0,1,0,0,0,0,0,0
222,2,01,35,,2018,1,18:14,0,0,0,0,0,0,0,0,0
223,3,13,31,,2018,1,11:02,1,0,0,0,0,0,0,0,0
224,7,10,25,,2018,1,17:11,0,0,1,0,0,0,0,0,0
225,1,20,80,,2018,1,10:04,1,0,0,0,0,0,0,0,0
226,3,02,65,Other reasonable suspicion of a crime,2018,0,09:20,1,0,0,0,0,0,0,0,0
227,3,16,37,,2018,1,13:05,0,0,1,0,0,0,0,0,0
228,7,09,25,,2018,0,22:41,0,1,0,0,0,0,0,0,0
229,3,14,30,Matched suspect description,2018,0,01:30,0,0,0,0,0,0,0,0,0
230,3,12,18,Officer witnessed commission of a crime,2018,0,20:23,1,0,0,0,0,0,0,0,0
231,2,01,35,,2018,0,17:33,0,0,1,0,0,0,0,0,0
232,2,18,25,,2018,0,15:21,0,0,0,0,0,0,0,0,0
233,7,06,30,,2018,0,21:25,0,0,0,0,1,0,0,0,0
234,7,03,60,,2018,1,11:29,0,0,1,0,0,0,0,0,0
235,2,12,20,Officer witnessed commission of a crime,2018,0,08:05,0,0,0,0,0,1,0,0,0
236,7,09,55,Officer witnessed commission of a crime,2018,0,23:00,0,0,0,1,0,0,0,0,0
237,3,12,44,,2018,1,09:08,0,0,1,0,0,0,0,0,0
238,3,13,58,,2018,1,13:38,0,0,1,0,0,0,0,0,0
239,2,12,45,,2018,1,22:25,1,0,0,0,0,0,0,0,0
240,2,03,50,,2018,0,00:41,0,0,1,0,0,0,0,0,0
241,7,07,45,,2018,1,07:50,0,0,1,0,0,0,0,0,0
242,3,13,39,,2018,1,18:31,0,0,1,0,0,0,0,0,0
243,3,18,28,,2018,1,09:30,0,0,1,0,0,0,0,0,0
244,7,14,70,,2018,1,08:01,0,0,1,0,0,0,0,0,0
245,3,15,30,Officer witnessed commission of a crime,2018,0,06:25,0,0,0,0,0,0,0,0,0
246,1,20,48,,2018,1,09:50,0,0,1,0,0,0,0,0,0
247,3,21,22,,2018,1,20:30,0,1,0,0,0,0,0,0,0
248,3,18,30,,2018,0,21:22,1,0,0,0,0,0,0,0,0
249,7,14,28,Officer witnessed commission of a crime,2018,1,08:20,0,0,1,0,0,0,0,0,0
250,3,07,50,Officer witnessed commission of a crime,2018,0,17:55,0,0,1,0,0,0,0,0,0
251,3,02,42,,2018,1,08:41,0,0,1,0,0,0,0,0,0
252,3,12,20,,2018,0,21:02,0,1,0,0,0,0,0,0,0
253,3,05,28,Witness or victim identification of suspect at the scene,2018,0,23:02,0,0,0,0,0,1,0,0,0
254,3,04,30,,2018,0,00:09,0,0,1,0,0,0,0,0,0
255,3,13,55,,2018,1,18:28,0,1,0,0,0,0,0,0,0
256,2,03,28,,2018,1,16:00,0,1,0,0,0,0,0,0,0
257,3,17,38,,2018,1,00:39,0,0,1,0,0,0,0,0,0
258,2,13,30,,2018,1,09:06,1,0,0,0,0,0,0,0,0
259,3,03,38,,2018,1,07:11,0,0,1,0,0,0,0,0,0
260,7,01,30,,2018,0,23:40,0,0,0,0,0,1,0,0,0
261,3,12,23,,2018,0,14:00,0,0,0,0,0,1,0,0,0
262,2,12,40,,2018,1,19:30,1,0,0,0,0,0,0,0,0
263,2,01,35,,2018,0,12:04,0,0,1,0,1,0,0,0,0
264,2,13,68,Officer witnessed commission of a crime,2018,0,10:00,0,0,1,0,0,0,0,0,0
265,3,19,45,Officer witnessed commission of a crime,2018,0,13:04,0,1,0,0,0,0,0,0,0
266,2,10,38,,2018,0,11:45,0,0,0,0,0,1,0,0,0
267,7,10,31,,2018,1,17:34,0,0,1,0,0,0,0,0,0
268,3,15,19,,2018,1,22:41,0,1,0,0,0,0,0,0,0
269,3,03,70,,2018,1,14:30,1,0,0,0,0,0,0,0,0
270,3,05,30,,2018,0,22:37,0,0,1,0,0,0,0,0,0
271,3,01,25,,2018,0,08:40,0,0,1,0,0,0,0,0,0
272,4,21,20,,2018,0,23:38,0,1,0,0,0,0,0,0,0
273,2,02,33,Officer witnessed commission of a crime,2018,0,13:18,0,0,0,1,0,0,0,0,0
274,2,13,50,Matched suspect description,2018,0,20:48,0,0,0,0,0,0,0,0,0
275,3,15,26,,2018,1,14:30,0,0,1,0,0,0,0,0,0
276,2,07,27,Matched suspect description,2018,0,23:52,0,0,0,0,0,1,0,0,0
277,3,19,36,,2018,1,08:37,0,0,0,0,0,0,0,1,0
278,3,01,30,,2018,0,17:49,0,0,1,0,0,0,0,0,0
279,2,18,25,,2018,0,22:49,1,0,0,0,0,0,0,0,0
280,7,01,27,,2018,1,16:44,0,0,1,0,0,0,0,0,0
281,7,05,26,,2018,0,14:28,0,0,0,0,0,1,0,0,0
282,2,12,26,,2018,0,21:10,0,1,0,0,0,0,0,0,0
283,3,17,58,,2018,1,11:50,0,0,1,0,0,0,0,0,0
284,2,12,25,,2018,1,19:01,0,1,0,0,0,0,0,0,0
285,7,14,47,,2018,1,07:15,0,0,1,0,0,0,0,0,0
286,3,12,22,,2018,1,18:27,0,0,1,0,0,0,0,0,0
287,3,13,32,,2018,0,23:18,0,0,0,0,1,0,0,0,0
288,2,18,35,,2018,1,16:04,1,0,0,0,0,0,0,0,0
289,2,12,28,,2018,1,15:17,0,0,1,0,0,0,0,0,0
290,2,19,20,,2018,0,14:16,0,1,0,0,0,0,0,0,0
291,3,04,25,,2018,1,22:27,1,0,0,0,0,0,0,0,0
292,3,17,50,,2018,0,06:30,0,0,0,0,0,0,0,0,0
293,2,12,25,,2018,1,09:19,0,0,1,0,0,0,0,0,0
294,7,10,40,,2018,1,09:15,0,0,1,0,0,0,0,0,0
295,3,15,21,,2018,1,07:35,0,0,1,0,0,0,0,0,0
296,4,09,20,,2018,0,15:51,0,0,1,0,0,0,0,0,0
297,3,01,26,,2018,1,14:23,0,0,1,0,0,0,0,0,0
298,1,03,25,,2018,1,17:55,0,1,0,0,0,0,0,0,0
299,7,17,32,,2018,1,08:10,1,0,0,0,0,0,0,0,0
300,2,12,45,,2018,1,20:04,0,1,0,0,0,0,0,0,0
301,3,07,23,Other reasonable suspicion of a crime,2018,0,18:25,0,0,0,0,0,0,0,0,0
302,3,18,28,Matched suspect description,2018,0,16:59,0,0,0,0,0,0,0,0,0
303,3,07,19,,2018,0,19:43,0,0,0,0,0,0,0,0,0
304,3,12,29,,2018,0,21:27,0,1,0,0,0,0,0,0,0
305,2,12,30,,2018,1,22:35,0,1,0,0,0,0,0,0,0
306,2,09,20,,2018,0,00:55,0,0,0,0,0,0,0,0,0
307,3,02,18,Officer witnessed commission of a crime,2018,0,22:33,0,0,0,0,0,1,0,0,0
308,3,01,30,Officer witnessed commission of a crime,2018,0,17:35,0,0,1,0,0,0,0,0,0
309,1,01,50,,2018,0,15:02,0,0,1,0,0,0,0,0,0
310,3,01,47,Officer witnessed commission of a crime,2018,1,17:35,0,0,1,0,0,0,0,0,0
311,7,21,45,,2018,1,14:27,0,0,1,0,0,0,0,0,0
312,3,20,32,,2018,1,12:05,0,0,1,0,0,0,0,0,0
313,2,15,30,,2018,1,19:52,0,0,0,0,0,0,0,0,0
314,3,15,20,Officer witnessed commission of a crime,2018,0,22:06,0,1,0,0,0,0,0,0,0
315,3,10,21,,2018,1,17:32,0,0,1,0,0,0,0,0,0
316,3,01,30,,2018,1,15:12,0,0,1,0,0,0,0,0,0
317,3,13,16,,2018,1,10:22,1,0,0,0,0,0,0,0,0
318,3,11,61,,2018,1,10:52,0,1,0,0,0,0,0,0,0
319,4,14,25,Matched suspect description,2018,1,02:15,0,0,0,0,0,0,0,0,0
320,3,20,38,,2018,1,11:35,0,0,1,0,0,0,0,0,0
321,7,20,25,,2018,1,19:52,0,1,0,0,0,0,0,0,0
322,3,18,25,,2018,0,03:43,0,1,0,0,0,0,0,0,0
323,7,07,24,,2018,0,18:18,0,1,0,0,0,0,0,0,0
324,3,21,17,,2018,1,00:22,0,0,1,0,0,0,0,0,0
325,3,12,50,,2018,1,18:10,0,0,1,0,0,0,0,0,0
326,7,14,29,,2018,1,01:14,0,0,1,0,0,0,0,0,0
327,3,02,27,,2018,0,23:08,0,0,0,0,1,1,0,0,0
328,4,20,40,,2018,1,15:53,0,0,1,0,0,0,0,0,0
329,4,10,73,,2018,1,13:05,0,0,1,0,0,0,0,0,0
330,2,07,27,,2018,0,21:40,0,0,1,0,0,0,0,0,0
331,2,10,45,,2018,1,21:14,0,0,1,0,0,0,0,0,0
332,2,06,25,,2018,0,23:10,0,0,0,0,0,0,0,0,0
333,2,19,35,,2018,1,09:42,0,1,0,0,0,0,0,0,0
334,2,05,55,,2018,1,15:08,0,1,0,0,0,0,0,0,0
335,3,20,23,,2018,1,14:59,1,0,0,0,0,0,0,0,0
336,2,14,34,Officer witnessed commission of a crime,2018,1,14:52,0,0,1,0,0,0,0,0,0
337,3,13,22,,2018,1,09:50,0,0,1,0,0,0,0,0,0
338,2,18,26,,2018,0,20:09,0,0,1,0,0,0,0,0,0
339,7,07,27,,2018,1,14:07,0,0,1,0,0,0,0,0,0
340,3,13,37,,2018,1,11:00,0,0,1,0,0,0,0,0,0
341,2,08,40,Witness or victim identification of suspect at the scene,2018,0,09:49,0,0,0,0,0,1,0,0,0
342,7,07,35,,2018,1,08:05,0,0,1,0,0,0,0,0,0
343,1,02,25,,2018,1,07:40,0,0,1,0,0,0,0,0,0
344,3,19,25,,2018,1,00:51,0,1,0,0,0,0,0,0,0
345,3,10,21,,2018,1,08:55,0,0,1,0,0,0,0,0,0
346,3,05,47,Officer witnessed commission of a crime,2018,0,11:14,0,0,1,0,0,0,0,0,0
347,3,17,45,,2018,1,16:15,0,1,0,0,0,0,0,0,0
348,7,15,35,,2018,1,08:03,0,1,1,0,0,0,0,0,0
349,7,06,60,,2018,0,08:15,0,0,0,0,0,1,0,0,0
350,2,21,41,,2018,1,08:30,0,0,1,0,0,0,0,0,0
